prize_id,prize_name,prize_alias,prize_institution,prize_year,prize_genre,person_id,first_name,last_name,gender,uk_residence,ethnicity_macro,highest_degree,degree_field_cat,degree_institution,degree_field,role_simple,person_role,book_id,book_title
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2019,Non-Fiction,0609,Hallie,Rubenhold,woman,TRUE,White British,Doctorate,History and Cultural Studies,University of Leeds,18th c History,Winner,winner,00771,The Five: The Untold Lives of the Women Killed by Jack the Ripper
8,Man Booker Prize,Booker Prize,Booker Foundation,2019,Fiction,0149,Salman,Rushdie,man,TRUE,Asian,Masters,History and Cultural Studies,University of Cambridge,History,Shortlisted,shortlisted,00281,Quichotte
8,Man Booker Prize,Booker Prize,Booker Foundation,2019,Fiction,0192,Elif,Shafak,woman,TRUE,Non-UK White,Doctorate,Politics and Economics,Middle East Technical University,Political Science,Shortlisted,shortlisted,00292,10 Minutes 38 Seconds in This Strange World
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2019,Sff,0491,Adrian,Tchaikovsky,man,TRUE,White British,Bachelors,Maths and Sciences,University of Reading,Zoology and Psychology,Winner,winner,00630,Children of Ruin
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2019,Crime,0429,Benjamin,Wood,man,TRUE,White British,unknown,unknown,unknown,unknown,Shortlisted,shortlisted,00542,A Station on the Path to Somewhere Better
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2020,Crime,0421,Claire,Askew,woman,TRUE,White British,Doctorate,Writing,University of Edinburgh,Creative Writing,Shortlisted,shortlisted,00532,What You Pay For
6,Costa Poetry Award,Costa Poetry Award,Costa,2020,Poetry,0042,Eavan,Boland,woman,FALSE,Irish,Bachelors,unknown,University of Cambridge,unknown,Winner,winner,00034,The Historians
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2020,Crime,0457,William,Brodrick,man,TRUE,White British,Bachelors,Philosophy and Theology,University of London,Philosophy and Theology,Shortlisted,shortlisted,00533,Forced Confessions
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2020,Non-Fiction,0603,Craig,Brown,man,TRUE,White British,none,none,none,none,Winner,winner,00765,One Two Three Four: The Beatles in Time
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2020,Non-Fiction,0604,Matthew,Cobb,man,TRUE,White British,Doctorate,Maths and Sciences,University of Sheffield,Psychology and Genetics,Shortlisted,shortlisted,00766,The Idea of the Brain
8,Booker Prize,Booker Prize,Booker Foundation,2020,Fiction,0184,Diane,Cook,woman,FALSE,Non-UK White,Masters,unknown,Columbia University,unknown,Shortlisted,shortlisted,00060,The New Wilderness
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2020,Fiction,0309,Angie,Cruz,woman,FALSE,Non-White American,Masters,unknown,New York University,unknown,Shortlisted,shortlisted,00378,Dominicana
8,Booker Prize,Booker Prize,Booker Foundation,2020,Fiction,0185,Tsitsi,Dangarembga,woman,FALSE,African,Doctorate,History and Cultural Studies,Humboldt University Berlin,African Studies,Shortlisted,shortlisted,00066,This Mournable Body
8,Booker Prize,Booker Prize,Booker Foundation,2020,Fiction,0186,Avni,Doshi,woman,FALSE,Asian,Masters,History and Cultural Studies,University College London,Art History,Shortlisted,shortlisted,00075,Burnt Sugar
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2020,Fiction,0003,Lucy,Ellmann,woman,TRUE,White British,Masters,unknown,Courtauld Institute of Art,unknown,Winner,winner,00084,"Ducks, Newburyport"
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2020,Fiction,0189,Bernardine,Evaristo,woman,TRUE,Black British,Doctorate,Writing,University of London,Creative Writing,Shortlisted,shortlisted,00087,"Girl, Woman, Other"
7,Costa Children's Book Award,Costa Children's Book Award,Costa,2020,Children's,0043,Natasha,Farrant,woman,TRUE,Non-UK White,Masters,History and Cultural Studies,London School of Economics,Social Anthropology,Winner,winner,00092,Voyage of the Sparrowhawk
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2020,Fiction,0310,Natalie,Haynes,woman,TRUE,White British,unknown,Language and Literature,University of Cambridge,Classics,Shortlisted,shortlisted,00377,A Thousand Ships
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2020,Non-Fiction,0605,Sudhir,Hazareesingh,man,TRUE,Black British,Doctorate,History and Cultural Studies,University of Oxford,History,Shortlisted,shortlisted,00767,Black Spartacus
